scenario,provider,phase,analysisSet,statisticalUnit,forkCount,observedForkCount,invalidBlockForkCount,semanticGatePassForkCount,studyRole,performanceComparisonEligible,performanceIncludedForkCount,operationsPerSecondN,operationsPerSecondMedian,operationsPerSecondMean,operationsPerSecondSampleStandardDeviation,operationsPerSecondFirstQuartile,operationsPerSecondThirdQuartile,operationsPerSecondMinimum,operationsPerSecondMaximum,readOperationsPerSecondN,readOperationsPerSecondMedian,readOperationsPerSecondMean,readOperationsPerSecondSampleStandardDeviation,readOperationsPerSecondFirstQuartile,readOperationsPerSecondThirdQuartile,readOperationsPerSecondMinimum,readOperationsPerSecondMaximum,fillOperationsPerSecondN,fillOperationsPerSecondMedian,fillOperationsPerSecondMean,fillOperationsPerSecondSampleStandardDeviation,fillOperationsPerSecondFirstQuartile,fillOperationsPerSecondThirdQuartile,fillOperationsPerSecondMinimum,fillOperationsPerSecondMaximum,latencyP50NanosN,latencyP50NanosMedian,latencyP50NanosMean,latencyP50NanosSampleStandardDeviation,latencyP50NanosFirstQuartile,latencyP50NanosThirdQuartile,latencyP50NanosMinimum,latencyP50NanosMaximum,latencyP95NanosN,latencyP95NanosMedian,latencyP95NanosMean,latencyP95NanosSampleStandardDeviation,latencyP95NanosFirstQuartile,latencyP95NanosThirdQuartile,latencyP95NanosMinimum,latencyP95NanosMaximum,latencyP99NanosN,latencyP99NanosMedian,latencyP99NanosMean,latencyP99NanosSampleStandardDeviation,latencyP99NanosFirstQuartile,latencyP99NanosThirdQuartile,latencyP99NanosMinimum,latencyP99NanosMaximum,measuredLatencySamplesN,measuredLatencySamplesMedian,measuredLatencySamplesMean,measuredLatencySamplesSampleStandardDeviation,measuredLatencySamplesFirstQuartile,measuredLatencySamplesThirdQuartile,measuredLatencySamplesMinimum,measuredLatencySamplesMaximum
default,ehcache,redeploy,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,24626259.549831145,24622964.845101517,1721395.0104498102,23369850.41999089,25814915.100113153,22523030.08161541,26800058.89574678,6,24626259.549831145,24622964.845101517,1721395.0104498102,23369850.41999089,25814915.100113153,22523030.08161541,26800058.89574678,6,1729123.5829954734,1660290.9265205034,161720.36287149426,1536073.778930467,1753332.545065205,1438267.198691292,1832105.1511102007,6,170.5,169.0,7.720103626247513,163.25,171.0,160.0,181.0,6,305.5,305.6666666666667,22.76547093004374,286.0,325.75,280.0,331.0,6,536.0,531.0,44.27188724235731,501.0,556.0,471.0,591.0,6,1925212.0,1924661.3333333333,134426.47793149482,1826723.0,2017665.0,1760500.0,2094668.0
default,ehcache,redeploy,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,25248020.06502235,24714185.13084554,1631932.1118828014,24122186.73766809,25789998.607317112,21856122.333359793,26215381.23837004,6,25248020.06502235,24714185.13084554,1631932.1118828014,24122186.73766809,25789998.607317112,21856122.333359793,26215381.23837004,6,1684515.7376301917,1704172.938460738,201371.9637583092,1599881.058963961,1855802.9080059344,1415595.1706158817,1955842.854015096,6,165.75,168.91666666666666,6.256330127692006,165.5,169.375,165.0,181.0,6,293.25,301.5833333333333,21.511431069704933,286.875,318.375,280.5,331.0,6,521.0,528.5,39.08324449172561,502.25,547.25,486.0,591.0,6,1973529.0,1933714.6666666667,128194.63055630164,1885378.5,2015745.0,1711364.0,2058054.0
default,jcs321,initial,primary-all-cycles,independent-process-run-fork,6,6,0,6,JCS-248-positive-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
default,jcs321,initial,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,JCS-248-positive-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
default,jcs321,redeploy,primary-all-cycles,independent-process-run-fork,6,6,0,6,JCS-248-positive-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
default,jcs321,redeploy,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,JCS-248-positive-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
default,jcs4,initial,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,964549.7963547253,965638.4281289927,133094.93038379343,874937.014459999,1031782.4205458335,798638.0899947461,1166833.5036317997,6,964549.7963547253,965638.4281289927,133094.93038379343,874937.014459999,1031782.4205458335,798638.0899947461,1166833.5036317997,6,3300630.7345386585,3383316.872508783,377533.11967818765,3282553.6749288216,3665619.656631031,2809555.410332758,3825273.7365885903,6,446.0,471.1666666666667,90.42215805136851,413.5,523.5,371.0,612.0,6,1904.0,2057.6666666666665,568.4444270697591,1696.5,2389.75,1423.0,2936.0,6,281699.0,283071.5,12792.533818599035,273566.0,287165.0,270272.0,304917.0,6,75378.0,75462.66666666667,10395.339160732885,68375.0,80635.0,62420.0,91172.0
default,jcs4,initial,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,967934.6789956044,986487.4010363979,122670.25699392478,933910.213008832,1011281.7452320502,833776.8181388052,1200978.7384309336,6,967934.6789956044,986487.4010363979,122670.25699392478,933910.213008832,1011281.7452320502,833776.8181388052,1200978.7384309336,6,3466071.428063727,3536473.5400036345,229900.3545708961,3420196.784210979,3510789.429128375,3363750.545183336,3992347.1729676956,6,448.5,471.9166666666667,76.72705954659456,442.25,515.125,371.0,586.0,6,1941.25,1989.8333333333333,408.55093521697717,1833.625,2237.125,1378.0,2545.0,6,280662.0,279883.5,10720.328889544387,274068.125,286143.625,264120.5,294015.5,6,75639.0,77091.33333333333,9584.81638147892,72989.0,79025.5,65158.0,93852.0
default,jcs4,redeploy,primary-all-cycles,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,968819.2076047721,979055.238939042,102684.13756510953,913262.4449151636,1045099.3913562871,847153.9073961563,1124269.4677364654,6,968819.2076047721,979055.238939042,102684.13756510953,913262.4449151636,1045099.3913562871,847153.9073961563,1124269.4677364654,6,3727364.2676800806,3595115.6452175607,286196.5675103949,3478822.6842618603,3786206.901013338,3099424.9017094877,3814743.832322172,6,471.0,462.6666666666667,58.79342366852492,436.0,491.0,371.0,541.0,6,1918.0,2012.0,432.5232941703834,1718.0,2254.5,1533.0,2685.0,6,273976.0,277447.5,10300.27597203104,269977.75,283977.25,267513.0,293264.0,6,75702.0,76511.33333333333,8033.79518451066,71368.0,81671.0,66196.0,87884.0
default,jcs4,redeploy,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,current-provider-primary-comparison,True,6,6,974693.2258941688,972480.6453754348,108767.03390773901,933861.7422302696,1061276.2901843123,793795.1318832594,1081313.7292910146,6,974693.2258941688,972480.6453754348,108767.03390773901,933861.7422302696,1061276.2901843123,793795.1318832594,1081313.7292910146,6,3729544.0990229985,3627308.578345001,267373.82651327114,3619645.200657091,3739778.1819690717,3112990.087978543,3865571.4065592503,6,453.25,475.0833333333333,85.13601862118446,418.0,481.0,411.0,636.5,6,1911.0,1995.5833333333333,435.15955885935296,1679.75,2120.5,1593.0,2765.5,6,277711.25,279029.6666666667,9210.035660444897,272722.125,281618.125,269614.5,295161.5,6,76167.0,75996.0,8500.36516862658,72976.0,82931.0,62034.0,84510.0
default,nostore,initial,primary-all-cycles,independent-process-run-fork,6,6,0,6,lifecycle-negative-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
default,nostore,initial,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,lifecycle-negative-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
default,nostore,redeploy,primary-all-cycles,independent-process-run-fork,6,6,0,6,lifecycle-negative-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
default,nostore,redeploy,sensitivity-without-cycle-1,independent-process-run-fork,6,6,0,6,lifecycle-negative-control,False,0,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,
